Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
597-37-9834,A,Yangon,Member,Male,Electronic accessories,16.07,1,0.8035,16.8735,02/12/2019,11:32,Ewallet,16.07,4.761904762,0.8035,5.7
520-69-1887,A,Yangon,Normal,Male,Sports and travel,82.67,4,16.534,347.214,01/13/2019,11:42,Cash,330.68,4.761904762,16.534,6.1
532-33-5563,C,Naypyitaw,Member,Male,Sports and travel,75.53,2,7.553,158.613,02/01/2019,13:12,Credit card,151.06,4.761904762,7.553,6.7
195-40-3724,B,Mandalay,Member,Male,Sports and travel,82.71,9,37.2195,781.6095,01/13/2019,10:41,Credit card,744.39,4.761904762,37.2195,9.0
902-68-5673,B,Mandalay,Normal,Female,Electronic accessories,87.81,1,4.3905,92.2005,01/22/2019,16:00,Cash,87.81,4.761904762,4.3905,5.6
151-84-8811,B,Mandalay,Normal,Male,Electronic accessories,36.7,1,1.835,38.535,03/16/2019,18:03,Credit card,36.7,4.761904762,1.835,5.9
513-25-5033,C,Naypyitaw,Member,Male,Food and beverages,17.21,3,2.5815,54.2115,01/09/2019,19:04,Credit card,51.63,4.761904762,2.5815,9.2
833-50-4910,C,Naypyitaw,Member,Male,Sports and travel,69.16,10,34.58,726.18,03/08/2019,15:59,Cash,691.6,4.761904762,34.58,5.2
676-22-2200,B,Mandalay,Normal,Male,Fashion accessories,68.09,8,27.236,571.956,02/10/2019,11:00,Cash,544.72,4.761904762,27.236,7.7
656-48-9666,C,Naypyitaw,Member,Female,Electronic accessories,93.98,2,9.398,197.358,02/01/2019,15:18,Ewallet,187.96,4.761904762,9.398,6.6
834-53-4335,A,Yangon,Normal,Male,Electronic accessories,33.8,2,3.38,70.98,03/12/2019,12:17,Cash,67.6,4.761904762,3.38,7.6
441-26-5291,C,Naypyitaw,Normal,Female,Home and lifestyle,91.47,1,4.5735,96.0435,01/12/2019,20:27,Cash,91.47,4.761904762,4.5735,4.3
696-80-3426,A,Yangon,Normal,Female,Food and beverages,10.87,2,1.087,22.827,03/30/2019,12:34,Ewallet,21.74,4.761904762,1.087,9.0
462-81-7658,B,Mandalay,Member,Male,Home and lifestyle,42.81,1,2.1405,44.9505,02/15/2019,13:43,Ewallet,42.81,4.761904762,2.1405,8.0
901-62-5065,C,Naypyitaw,Member,Male,Electronic accessories,97.85,3,14.6775,308.2275,02/22/2019,10:11,Credit card,293.55,4.761904762,14.6775,9.5
940-39-4652,B,Mandalay,Member,Male,Sports and travel,88.49,8,35.396,743.316,01/29/2019,13:52,Cash,707.92,4.761904762,35.396,6.1
963-78-6425,A,Yangon,Member,Female,Home and lifestyle,35.07,2,3.507,73.647,02/05/2019,15:41,Credit card,70.14,4.761904762,3.507,6.4
905-50-8149,A,Yangon,Member,Female,Electronic accessories,62.25,5,15.5625,326.8125,01/05/2019,11:38,Cash,311.25,4.761904762,15.5625,6.1
859-95-4228,C,Naypyitaw,Member,Female,Food and beverages,27.11,1,1.3555,28.4655,02/25/2019,10:33,Credit card,27.11,4.761904762,1.3555,8.1
407-74-6067,B,Mandalay,Normal,Male,Fashion accessories,92.86,10,46.43,975.03,02/10/2019,20:54,Ewallet,928.6,4.761904762,46.43,8.3
793-32-5930,C,Naypyitaw,Normal,Female,Sports and travel,72.74,9,32.733,687.393,01/17/2019,13:26,Credit card,654.66,4.761904762,32.733,9.6
791-37-9375,B,Mandalay,Member,Female,Home and lifestyle,28.91,10,14.455,303.555,03/19/2019,20:20,Cash,289.1,4.761904762,14.455,6.7
330-35-3414,B,Mandalay,Member,Male,Home and lifestyle,56.39,10,28.195,592.095,02/12/2019,11:52,Ewallet,563.9,4.761904762,28.195,8.0
835-99-7291,A,Yangon,Member,Male,Sports and travel,65.01,2,6.501,136.521,02/28/2019,16:56,Credit card,130.02,4.761904762,6.501,7.5
812-76-8611,B,Mandalay,Normal,Male,Electronic accessories,69.04,1,3.452,72.492,01/14/2019,16:14,Ewallet,69.04,4.761904762,3.452,8.8
873-66-9270,A,Yangon,Member,Male,Sports and travel,22.0,8,8.8,184.8,03/27/2019,18:35,Credit card,176.0,4.761904762,8.8,5.9
896-76-8939,B,Mandalay,Normal,Male,Fashion accessories,87.53,8,35.012,735.252,02/03/2019,13:53,Credit card,700.24,4.761904762,35.012,5.7
182-27-3471,C,Naypyitaw,Member,Female,Sports and travel,16.97,5,4.2425,89.0925,01/31/2019,14:21,Cash,84.85,4.761904762,4.2425,9.4
311-63-7381,A,Yangon,Normal,Male,Fashion accessories,29.25,7,10.2375,214.9875,02/22/2019,15:34,Cash,204.75,4.761904762,10.2375,6.5
852-79-4613,C,Naypyitaw,Member,Female,Sports and travel,10.53,6,3.159,66.339,02/08/2019,16:54,Cash,63.18,4.761904762,3.159,7.2
960-69-3091,B,Mandalay,Member,Female,Sports and travel,53.7,7,18.795,394.695,02/13/2019,20:43,Cash,375.9,4.761904762,18.795,8.3
286-16-5262,C,Naypyitaw,Member,Female,Food and beverages,60.79,1,3.0395,63.8295,01/11/2019,20:27,Ewallet,60.79,4.761904762,3.0395,9.2
867-79-1853,B,Mandalay,Normal,Male,Sports and travel,39.41,7,13.7935,289.6635,02/05/2019,16:16,Ewallet,275.87,4.761904762,13.7935,6.8
344-26-8758,B,Mandalay,Member,Male,Fashion accessories,13.62,1,0.681,14.301,02/01/2019,13:53,Ewallet,13.62,4.761904762,0.681,7.7
896-30-6096,C,Naypyitaw,Member,Male,Sports and travel,72.94,6,21.882,459.522,01/22/2019,19:38,Credit card,437.64,4.761904762,21.882,8.3
742-41-2669,A,Yangon,Member,Female,Food and beverages,70.95,7,24.8325,521.4825,02/20/2019,13:04,Credit card,496.65,4.761904762,24.8325,8.1
763-53-1207,C,Naypyitaw,Normal,Male,Food and beverages,80.43,6,24.129,506.709,03/10/2019,16:42,Cash,482.58,4.761904762,24.129,4.4
766-44-9817,B,Mandalay,Normal,Male,Sports and travel,96.46,8,38.584,810.264,01/20/2019,16:11,Credit card,771.68,4.761904762,38.584,7.1
575-82-7209,B,Mandalay,Normal,Female,Fashion accessories,63.32,6,18.996,398.916,02/01/2019,11:17,Cash,379.92,4.761904762,18.996,5.5
818-45-1166,B,Mandalay,Member,Female,Home and lifestyle,26.36,4,5.272,110.712,02/15/2019,14:21,Cash,105.44,4.761904762,5.272,9.3
602-67-1282,C,Naypyitaw,Member,Male,Electronic accessories,74.8,8,29.92,628.32,03/13/2019,13:44,Cash,598.4,4.761904762,29.92,7.9
452-64-6419,A,Yangon,Normal,Male,Sports and travel,72.25,5,18.0625,379.3125,03/26/2019,19:23,Cash,361.25,4.761904762,18.0625,7.3
880-98-4033,B,Mandalay,Normal,Female,Home and lifestyle,32.62,2,3.262,68.502,01/25/2019,15:07,Credit card,65.24,4.761904762,3.262,7.2
469-32-5952,A,Yangon,Member,Female,Home and lifestyle,75.21,9,33.8445,710.7345,03/18/2019,14:06,Ewallet,676.89,4.761904762,33.8445,5.8
112-83-5658,A,Yangon,Member,Female,Health and beauty,97.68,9,43.956,923.076,02/07/2019,12:40,Cash,879.12,4.761904762,43.956,4.6
175-83-1878,B,Mandalay,Normal,Female,Home and lifestyle,26.59,1,1.3295,27.9195,02/02/2019,17:07,Ewallet,26.59,4.761904762,1.3295,6.4
331-76-7232,A,Yangon,Member,Female,Health and beauty,99.44,2,9.944,208.824,03/13/2019,16:38,Credit card,198.88,4.761904762,9.944,8.7
201-36-4457,B,Mandalay,Normal,Female,Food and beverages,99.09,5,24.7725,520.2225,03/14/2019,19:03,Credit card,495.45,4.761904762,24.7725,9.8
581-47-1534,B,Mandalay,Member,Male,Electronic accessories,25.64,2,2.564,53.844,01/21/2019,10:26,Cash,51.28,4.761904762,2.564,8.1
740-85-4241,A,Yangon,Normal,Female,Fashion accessories,87.36,2,8.736,183.456,03/29/2019,13:59,Cash,174.72,4.761904762,8.736,8.7
709-82-5728,B,Mandalay,Member,Male,Fashion accessories,23.41,5,5.8525,122.9025,01/19/2019,11:03,Ewallet,117.05,4.761904762,5.8525,8.8
712-15-8078,B,Mandalay,Member,Female,Fashion accessories,37.37,7,13.0795,274.6695,02/04/2019,18:34,Cash,261.59,4.761904762,13.0795,6.6
690-15-3870,C,Naypyitaw,Normal,Female,Health and beauty,18.22,10,9.11,191.31,03/17/2019,10:48,Credit card,182.2,4.761904762,9.11,8.9
441-51-2713,B,Mandalay,Normal,Female,Electronic accessories,99.72,7,34.902,732.942,03/23/2019,17:05,Cash,698.04,4.761904762,34.902,6.1
431-24-7622,A,Yangon,Normal,Female,Fashion accessories,54.59,7,19.1065,401.2365,03/12/2019,10:29,Ewallet,382.13,4.761904762,19.1065,5.9
878-16-4335,C,Naypyitaw,Member,Female,Sports and travel,14.88,9,6.696,140.616,02/16/2019,19:48,Cash,133.92,4.761904762,6.696,7.8
826-30-6091,B,Mandalay,Member,Female,Sports and travel,89.27,8,35.708,749.868,01/16/2019,10:40,Credit card,714.16,4.761904762,35.708,8.8
833-47-9337,C,Naypyitaw,Member,Female,Health and beauty,30.22,2,3.022,63.462,03/01/2019,11:41,Ewallet,60.44,4.761904762,3.022,7.0
713-75-3236,C,Naypyitaw,Normal,Female,Sports and travel,98.21,4,19.642,412.482,02/28/2019,18:09,Cash,392.84,4.761904762,19.642,5.1
701-84-9022,A,Yangon,Normal,Female,Home and lifestyle,94.07,9,42.3315,888.9615,02/04/2019,10:18,Credit card,846.63,4.761904762,42.3315,5.8
814-40-7274,A,Yangon,Normal,Female,Home and lifestyle,39.92,9,17.964,377.244,02/18/2019,17:59,Cash,359.28,4.761904762,17.964,9.2
607-14-3068,A,Yangon,Normal,Male,Home and lifestyle,77.02,7,26.957,566.097,02/19/2019,20:50,Credit card,539.14,4.761904762,26.957,9.9
176-70-5342,C,Naypyitaw,Normal,Male,Sports and travel,18.97,8,7.588,159.348,01/02/2019,12:26,Credit card,151.76,4.761904762,7.588,9.8
599-79-1588,B,Mandalay,Normal,Male,Home and lifestyle,86.7,9,39.015,819.315,02/18/2019,15:40,Credit card,780.3,4.761904762,39.015,9.3
820-22-8269,C,Naypyitaw,Member,Male,Fashion accessories,71.59,5,17.8975,375.8475,01/30/2019,11:27,Ewallet,357.95,4.761904762,17.8975,8.6
643-62-3950,A,Yangon,Normal,Male,Health and beauty,39.19,1,1.9595,41.1495,02/07/2019,15:23,Cash,39.19,4.761904762,1.9595,4.9
572-91-5161,A,Yangon,Member,Male,Food and beverages,88.37,10,44.185,927.885,03/29/2019,13:31,Credit card,883.7,4.761904762,44.185,4.9
406-91-7951,B,Mandalay,Normal,Male,Sports and travel,91.1,9,40.995,860.895,01/21/2019,11:28,Cash,819.9,4.761904762,40.995,9.9
688-47-5837,C,Naypyitaw,Normal,Female,Home and lifestyle,27.93,7,9.7755,205.2855,03/03/2019,11:15,Cash,195.51,4.761904762,9.7755,7.4
335-87-6772,A,Yangon,Normal,Female,Health and beauty,60.93,1,3.0465,63.9765,03/19/2019,17:53,Cash,60.93,4.761904762,3.0465,8.7
416-66-1546,A,Yangon,Member,Female,Fashion accessories,77.99,3,11.6985,245.6685,03/22/2019,11:57,Credit card,233.97,4.761904762,11.6985,7.9
997-56-9697,C,Naypyitaw,Normal,Male,Health and beauty,91.86,6,27.558,578.718,02/23/2019,12:12,Ewallet,551.16,4.761904762,27.558,8.7
177-28-4696,C,Naypyitaw,Normal,Male,Home and lifestyle,92.26,8,36.904,774.984,02/07/2019,15:51,Ewallet,738.08,4.761904762,36.904,6.8
866-96-5295,C,Naypyitaw,Normal,Female,Health and beauty,81.15,1,4.0575,85.2075,02/03/2019,18:07,Cash,81.15,4.761904762,4.0575,6.2
724-38-2035,C,Naypyitaw,Normal,Female,Health and beauty,70.73,8,28.292,594.132,01/04/2019,19:56,Credit card,565.84,4.761904762,28.292,6.0
340-78-3222,C,Naypyitaw,Normal,Female,Fashion accessories,46.74,3,7.011,147.231,01/06/2019,10:19,Cash,140.22,4.761904762,7.011,4.7
524-93-2622,B,Mandalay,Normal,Female,Fashion accessories,95.43,9,42.9435,901.8135,02/23/2019,19:47,Credit card,858.87,4.761904762,42.9435,4.9
802-57-9920,B,Mandalay,Normal,Female,Health and beauty,72.12,4,14.424,302.904,02/26/2019,17:15,Cash,288.48,4.761904762,14.424,4.6
711-12-1828,C,Naypyitaw,Normal,Male,Sports and travel,34.83,2,3.483,73.143,02/28/2019,11:42,Ewallet,69.66,4.761904762,3.483,7.9
251-86-1046,B,Mandalay,Member,Male,Food and beverages,28.47,9,12.8115,269.0415,01/27/2019,19:13,Ewallet,256.23,4.761904762,12.8115,6.0
466-40-6304,B,Mandalay,Member,Male,Food and beverages,32.56,3,4.884,102.564,01/15/2019,20:55,Ewallet,97.68,4.761904762,4.884,4.8
896-56-9408,A,Yangon,Member,Female,Health and beauty,21.41,7,7.4935,157.3635,03/09/2019,11:47,Ewallet,149.87,4.761904762,7.4935,6.9
131-17-8847,C,Naypyitaw,Member,Female,Food and beverages,29.94,10,14.97,314.37,01/06/2019,20:33,Cash,299.4,4.761904762,14.97,6.7
229-45-9984,B,Mandalay,Normal,Male,Sports and travel,74.11,8,29.644,622.524,01/10/2019,11:20,Credit card,592.88,4.761904762,29.644,4.9
217-93-4522,C,Naypyitaw,Normal,Female,Food and beverages,57.74,8,23.096,485.016,03/06/2019,19:27,Ewallet,461.92,4.761904762,23.096,8.8
420-95-5176,B,Mandalay,Normal,Male,Sports and travel,40.5,8,16.2,340.2,02/21/2019,16:46,Ewallet,324.0,4.761904762,16.2,5.9
931-26-1982,B,Mandalay,Member,Female,Health and beauty,18.21,2,1.821,38.241,01/12/2019,16:06,Credit card,36.42,4.761904762,1.821,8.4
691-74-4485,C,Naypyitaw,Normal,Male,Sports and travel,41.82,7,14.637,307.377,01/07/2019,14:38,Cash,292.74,4.761904762,14.637,6.1
926-64-1430,A,Yangon,Normal,Male,Health and beauty,41.51,9,18.6795,392.2695,02/17/2019,11:48,Cash,373.59,4.761904762,18.6795,7.4
679-94-7566,C,Naypyitaw,Normal,Male,Electronic accessories,34.59,5,8.6475,181.5975,02/13/2019,15:00,Ewallet,172.95,4.761904762,8.6475,9.2
419-51-2391,A,Yangon,Member,Male,Health and beauty,77.14,4,15.428,323.988,02/18/2019,16:29,Cash,308.56,4.761904762,15.428,4.9
552-63-5475,A,Yangon,Member,Male,Food and beverages,14.48,2,1.448,30.408,02/04/2019,17:42,Cash,28.96,4.761904762,1.448,6.9
504-86-1897,A,Yangon,Member,Female,Sports and travel,19.98,10,9.99,209.79,03/04/2019,18:42,Cash,199.8,4.761904762,9.99,4.3
540-32-3116,A,Yangon,Member,Female,Electronic accessories,79.05,5,19.7625,415.0125,02/07/2019,15:07,Ewallet,395.25,4.761904762,19.7625,7.0
689-64-7626,B,Mandalay,Member,Female,Health and beauty,45.73,1,2.2865,48.0165,02/25/2019,10:29,Ewallet,45.73,4.761904762,2.2865,9.2
190-65-2734,C,Naypyitaw,Normal,Female,Health and beauty,46.45,6,13.935,292.635,01/22/2019,19:29,Credit card,278.7,4.761904762,13.935,9.5
748-24-9693,A,Yangon,Normal,Female,Food and beverages,17.08,5,4.27,89.67,02/13/2019,13:21,Ewallet,85.4,4.761904762,4.27,4.5
716-29-2234,C,Naypyitaw,Member,Female,Home and lifestyle,75.46,3,11.319,237.699,01/31/2019,11:09,Cash,226.38,4.761904762,11.319,5.2
430-90-6179,A,Yangon,Normal,Female,Food and beverages,78.38,8,31.352,658.392,03/29/2019,19:41,Credit card,627.04,4.761904762,31.352,9.9
417-69-8404,A,Yangon,Normal,Male,Sports and travel,49.79,5,12.4475,261.3975,02/05/2019,19:03,Cash,248.95,4.761904762,12.4475,7.0
667-15-8368,A,Yangon,Member,Female,Home and lifestyle,16.91,2,1.691,35.511,03/20/2019,19:32,Cash,33.82,4.761904762,1.691,6.8
186-74-3827,C,Naypyitaw,Member,Female,Food and beverages,52.8,3,7.92,166.32,01/08/2019,17:06,Cash,158.4,4.761904762,7.92,9.9
893-53-1857,A,Yangon,Member,Female,Sports and travel,57.16,10,28.58,600.18,01/21/2019,15:23,Cash,571.6,4.761904762,28.58,6.3
717-29-6461,C,Naypyitaw,Normal,Male,Home and lifestyle,18.5,7,6.475,135.975,02/06/2019,14:46,Credit card,129.5,4.761904762,6.475,9.8
485-92-6381,A,Yangon,Member,Female,Home and lifestyle,97.08,7,33.978,713.538,01/17/2019,19:45,Ewallet,679.56,4.761904762,33.978,5.9
597-34-4711,A,Yangon,Member,Female,Food and beverages,42.56,6,12.768,268.128,02/09/2019,12:13,Cash,255.36,4.761904762,12.768,9.7
138-94-6517,A,Yangon,Member,Male,Home and lifestyle,85.99,2,8.599,180.579,03/06/2019,18:53,Credit card,171.98,4.761904762,8.599,9.3
836-40-8277,C,Naypyitaw,Member,Female,Electronic accessories,24.6,10,12.3,258.3,01/22/2019,17:02,Cash,246.0,4.761904762,12.3,6.2
551-69-5616,C,Naypyitaw,Normal,Female,Electronic accessories,58.06,5,14.515,304.815,03/02/2019,13:23,Credit card,290.3,4.761904762,14.515,9.7
667-23-9452,B,Mandalay,Normal,Male,Electronic accessories,82.11,3,12.3165,258.6465,02/02/2019,10:41,Cash,246.33,4.761904762,12.3165,9.2
457-13-7797,A,Yangon,Normal,Male,Electronic accessories,34.55,9,15.5475,326.4975,01/19/2019,16:05,Ewallet,310.95,4.761904762,15.5475,8.9
959-93-6493,A,Yangon,Normal,Female,Electronic accessories,44.75,2,4.475,93.975,02/17/2019,13:01,Cash,89.5,4.761904762,4.475,9.6
730-10-2298,A,Yangon,Member,Male,Home and lifestyle,92.56,8,37.024,777.504,03/31/2019,12:48,Credit card,740.48,4.761904762,37.024,6.8
224-16-4906,A,Yangon,Normal,Male,Electronic accessories,59.39,10,29.695,623.595,03/09/2019,16:07,Cash,593.9,4.761904762,29.695,5.4
347-28-5772,B,Mandalay,Normal,Male,Health and beauty,85.29,8,34.116,716.436,03/18/2019,18:01,Credit card,682.32,4.761904762,34.116,7.1
169-77-9914,B,Mandalay,Member,Female,Electronic accessories,61.35,3,9.2025,193.2525,03/27/2019,20:05,Credit card,184.05,4.761904762,9.2025,9.8
169-54-4950,C,Naypyitaw,Member,Female,Sports and travel,13.92,7,4.872,102.312,02/17/2019,14:47,Ewallet,97.44,4.761904762,4.872,6.1
812-71-3986,C,Naypyitaw,Member,Female,Electronic accessories,13.99,9,6.2955,132.2055,02/13/2019,20:11,Credit card,125.91,4.761904762,6.2955,6.8
934-79-8756,A,Yangon,Member,Female,Health and beauty,36.41,1,1.8205,38.2305,01/26/2019,10:20,Cash,36.41,4.761904762,1.8205,7.1
547-61-8204,B,Mandalay,Member,Male,Home and lifestyle,42.12,1,2.106,44.226,03/25/2019,15:17,Ewallet,42.12,4.761904762,2.106,8.8
180-65-3956,B,Mandalay,Normal,Male,Sports and travel,72.28,6,21.684,455.364,03/08/2019,14:51,Ewallet,433.68,4.761904762,21.684,8.4
806-66-6759,C,Naypyitaw,Normal,Female,Health and beauty,17.21,5,4.3025,90.3525,02/09/2019,17:38,Credit card,86.05,4.761904762,4.3025,6.6
472-75-3621,B,Mandalay,Member,Female,Food and beverages,99.82,5,24.955,524.055,03/23/2019,10:04,Credit card,499.1,4.761904762,24.955,7.8
133-87-3513,A,Yangon,Member,Female,Health and beauty,21.36,4,4.272,89.712,03/24/2019,15:23,Cash,85.44,4.761904762,4.272,9.7
765-45-5089,C,Naypyitaw,Normal,Female,Home and lifestyle,49.95,2,4.995,104.895,03/15/2019,12:33,Cash,99.9,4.761904762,4.995,6.4
319-88-5678,A,Yangon,Member,Male,Sports and travel,56.59,9,25.4655,534.7755,01/16/2019,14:49,Cash,509.31,4.761904762,25.4655,8.2
189-97-6236,C,Naypyitaw,Normal,Male,Health and beauty,22.21,2,2.221,46.641,02/27/2019,12:57,Credit card,44.42,4.761904762,2.221,6.7
224-35-3275,C,Naypyitaw,Normal,Male,Food and beverages,58.79,5,14.6975,308.6475,01/21/2019,20:11,Cash,293.95,4.761904762,14.6975,7.1
167-49-7523,A,Yangon,Normal,Male,Home and lifestyle,59.86,6,17.958,377.118,03/01/2019,18:08,Credit card,359.16,4.761904762,17.958,9.3
796-76-6644,C,Naypyitaw,Normal,Female,Sports and travel,84.09,2,8.409,176.589,01/17/2019,15:41,Ewallet,168.18,4.761904762,8.409,6.7
430-38-6669,A,Yangon,Member,Male,Sports and travel,55.25,1,2.7625,58.0125,01/16/2019,18:09,Cash,55.25,4.761904762,2.7625,5.0
195-74-3762,C,Naypyitaw,Normal,Male,Home and lifestyle,27.67,9,12.4515,261.4815,02/05/2019,12:40,Cash,249.03,4.761904762,12.4515,7.7
756-83-5336,C,Naypyitaw,Member,Male,Fashion accessories,66.2,10,33.1,695.1,02/13/2019,19:02,Ewallet,662.0,4.761904762,33.1,4.5
594-41-7653,C,Naypyitaw,Member,Female,Food and beverages,67.5,8,27.0,567.0,03/22/2019,18:18,Credit card,540.0,4.761904762,27.0,9.7
247-50-6231,B,Mandalay,Normal,Male,Fashion accessories,15.39,8,6.156,129.276,02/23/2019,17:29,Ewallet,123.12,4.761904762,6.156,6.0
373-67-5061,C,Naypyitaw,Normal,Female,Electronic accessories,78.45,9,35.3025,741.3525,03/13/2019,11:20,Ewallet,706.05,4.761904762,35.3025,6.8
691-50-4110,A,Yangon,Member,Male,Home and lifestyle,95.08,10,47.54,998.34,02/23/2019,13:55,Ewallet,950.8,4.761904762,47.54,8.9
346-37-6781,A,Yangon,Normal,Female,Sports and travel,89.11,8,35.644,748.524,01/03/2019,11:25,Credit card,712.88,4.761904762,35.644,6.7
370-56-7606,A,Yangon,Member,Female,Sports and travel,63.77,8,25.508,535.668,02/06/2019,18:00,Ewallet,510.16,4.761904762,25.508,6.6
561-80-5582,B,Mandalay,Member,Female,Health and beauty,61.32,4,12.264,257.544,02/16/2019,18:18,Ewallet,245.28,4.761904762,12.264,6.3
621-61-9193,C,Naypyitaw,Member,Male,Health and beauty,45.45,6,13.635,286.335,03/13/2019,15:48,Ewallet,272.7,4.761904762,13.635,5.2
243-51-6218,A,Yangon,Member,Male,Electronic accessories,74.22,8,29.688,623.448,03/08/2019,17:09,Credit card,593.76,4.761904762,29.688,9.4
935-12-7035,A,Yangon,Normal,Female,Food and beverages,40.27,9,18.1215,380.5515,03/10/2019,17:45,Credit card,362.43,4.761904762,18.1215,5.8
894-84-4728,B,Mandalay,Member,Female,Food and beverages,37.69,1,1.8845,39.5745,03/18/2019,17:16,Credit card,37.69,4.761904762,1.8845,8.7
686-99-2800,C,Naypyitaw,Member,Female,Electronic accessories,57.18,10,28.59,600.39,02/18/2019,12:52,Credit card,571.8,4.761904762,28.59,5.5
582-17-3262,A,Yangon,Member,Female,Home and lifestyle,47.69,7,16.6915,350.5215,03/30/2019,13:26,Credit card,333.83,4.761904762,16.6915,8.6
462-96-5331,C,Naypyitaw,Member,Female,Fashion accessories,53.05,7,18.5675,389.9175,02/10/2019,12:29,Credit card,371.35,4.761904762,18.5675,6.1
806-72-6194,C,Naypyitaw,Normal,Male,Electronic accessories,35.11,5,8.7775,184.3275,01/29/2019,14:49,Cash,175.55,4.761904762,8.7775,8.2
923-28-5758,B,Mandalay,Normal,Female,Home and lifestyle,20.97,9,9.4365,198.1665,02/18/2019,16:52,Cash,188.73,4.761904762,9.4365,9.7
675-99-5450,A,Yangon,Normal,Male,Home and lifestyle,93.15,5,23.2875,489.0375,03/03/2019,13:12,Credit card,465.75,4.761904762,23.2875,5.6
438-70-2647,A,Yangon,Member,Male,Electronic accessories,14.57,9,6.5565,137.6865,01/29/2019,20:14,Ewallet,131.13,4.761904762,6.5565,4.6
304-46-6262,C,Naypyitaw,Member,Male,Food and beverages,98.0,3,14.7,308.7,02/22/2019,20:59,Cash,294.0,4.761904762,14.7,6.9
137-60-9116,B,Mandalay,Member,Male,Fashion accessories,61.67,9,27.7515,582.7815,01/05/2019,12:26,Ewallet,555.03,4.761904762,27.7515,9.6
656-77-9092,A,Yangon,Normal,Male,Health and beauty,36.85,10,18.425,386.925,01/14/2019,15:18,Cash,368.5,4.761904762,18.425,9.9
114-53-5833,A,Yangon,Normal,Female,Electronic accessories,82.79,6,24.837,521.577,01/21/2019,17:41,Cash,496.74,4.761904762,24.837,8.3
197-33-3303,C,Naypyitaw,Member,Male,Food and beverages,87.04,7,30.464,639.744,02/24/2019,18:20,Ewallet,609.28,4.761904762,30.464,6.4
686-11-5285,B,Mandalay,Normal,Male,Health and beauty,33.47,4,6.694,140.574,02/27/2019,14:21,Cash,133.88,4.761904762,6.694,7.5
820-49-2923,C,Naypyitaw,Normal,Male,Health and beauty,70.09,8,28.036,588.756,02/09/2019,12:25,Credit card,560.72,4.761904762,28.036,7.0
482-63-9998,C,Naypyitaw,Normal,Female,Food and beverages,29.87,3,4.4805,94.0905,03/03/2019,12:29,Credit card,89.61,4.761904762,4.4805,9.9
677-24-2011,B,Mandalay,Member,Male,Fashion accessories,77.92,2,7.792,163.632,03/09/2019,17:33,Credit card,155.84,4.761904762,7.792,6.2
600-21-9361,C,Naypyitaw,Member,Male,Electronic accessories,39.53,9,17.7885,373.5585,02/26/2019,11:43,Ewallet,355.77,4.761904762,17.7885,8.3
